,District,Total_Cases,Cases_Today
0,Baksa,0,0
1,Barpeta,13,0
2,Biswanath,2,0
3,Bongaigaon,5,0
4,Cachar,34,0
5,Charaideo,0,0
6,Chirang,6,0
7,Darrang,2,1
8,Dhemaji,4,0
9,Dhubri,9,1
10,Dibrugarh,1,0
11,Dima Hasao,7,0
12,Goalpara,16,8
13,Golaghat,123,48
14,Hailakandi,10,1
15,Hojai,26,1
16,Jorhat,11,0
17,Kamrup,20,0
18,Kamrup Metropolitan,203,27
19,Karbi Anglong,2,2
20,Karimganj,33,7
21,Kokrajhar,13,0
22,Lakhimpur,26,5
23,Majuli,0,0
24,Morigaon,20,8
25,Nagaon,19,8
26,Nalbari,17,0
27,Other State,1,0
28,Sivasagar,12,0
29,Sonitpur,14,0
30,South Salmara Mankachar,4,0
31,Tinsukia,6,0
32,Udalguri,3,1
33,West Karbi Anglong,5,0
