,District,Total_Cases,Cases_Today
0,Balod,18,0
1,Baloda Bazar,19,0
2,Balrampur,8,1
3,Bametara,2,1
4,Bastar,0,0
5,Bijapur,0,0
6,Bilaspur,40,3
7,Dakshin Bastar Dantewada,0,0
8,Dhamtari,2,2
9,Durg,10,0
10,Gariaband,5,1
11,Janjgir Champa,15,0
12,Jashpur,1,0
13,Kabeerdham,13,0
14,Kondagaon,0,0
15,Korba,41,0
16,Koriya,8,2
17,Mahasamund,0,0
18,Mungeli,43,30
19,Narayanpur,0,0
20,Raigarh,10,0
21,Raipur,9,1
22,Rajnandgaon,23,1
23,Sukma,0,0
24,Surajpur,7,0
25,Surguja,7,1
26,Uttar Bastar Kanker,8,3
27,Gaurela Pendra Marwahi,3,1
28,Unknown,0,0
