,District,Total_Cases,Cases_Today
0,Other State,7,2
1,Ahmedabad,10280,279
2,Amreli,4,0
3,Anand,91,1
4,Aravalli,99,1
5,Banaskantha,99,0
6,Bharuch,37,0
7,Bhavnagar,115,1
8,Botad,56,0
9,Chhota Udaipur,22,0
10,Dahod,36,4
11,Dang,2,0
12,Devbhumi Dwarka,12,0
13,Gandhinagar,221,11
14,Gir Somnath,44,0
15,Jamnagar,47,1
16,Junagadh,26,0
17,Kheda,62,3
18,Kutch,64,0
19,Mahisagar,81,2
20,Mehsana,101,2
21,Morbi,3,0
22,Narmada,15,0
23,Navsari,15,0
24,Panchmahal,74,2
25,Patan,71,0
26,Porbandar,6,0
27,Rajkot,92,5
28,Sabarkantha,77,14
29,Surat,1320,35
30,Surendranagar,23,0
31,Tapi,6,0
32,Vadodara,836,30
33,Valsad,19,1
