,District,Total_Cases,Cases_Today
0,Bagalkote,77,0
1,Ballari,33,0
2,Belagavi,127,0
3,Bengaluru Rural,11,0
4,Bengaluru Urban,268,1
5,Bidar,85,6
6,Chamarajanagara,0,0
7,Chikkaballapura,126,27
8,Chikkamagaluru,10,0
9,Chitradurga,11,0
10,Dakshina Kannada,60,1
11,Davanagere,123,4
12,Dharwad,39,1
13,Gadag,35,0
14,Hassan,99,14
15,Haveri,6,0
16,Kalaburagi,142,6
17,Kodagu,3,1
18,Kolar,14,0
19,Koppal,3,0
20,Mandya,252,15
21,Mysuru,90,0
22,Other State,22,0
23,Raichur,66,0
24,Ramanagara,0,0
25,Shivamogga,36,2
26,Tumakuru,26,2
27,Udupi,76,23
28,Uttara Kannada,70,2
29,Vijayapura,69,1
30,Yadgir,110,24
