,District,Total_Cases,Cases_Today
0,Ahmednagar,70,6
1,Akola,208,16
2,Amravati,92,3
3,Aurangabad,716,36
4,Beed,1,0
5,Bhandara,1,0
6,Buldhana,26,1
7,Chandrapur,5,1
8,Dhule,71,0
9,Gadchiroli,0,0
10,Gondia,1,0
11,Hingoli,61,0
12,Jalgaon,223,17
13,Jalna,20,4
14,Kolhapur,25,3
15,Latur,32,0
16,Mumbai,16738,991
17,Mumbai Suburban,0,0
18,Nagpur,331,14
19,Nanded,57,0
20,Nandurbar,22,0
21,Nashik,807,56
22,Osmanabad,4,0
23,Other State,41,0
24,Palghar,337,11
25,Parbhani,2,0
26,Pune,3314,153
27,Raigad,327,19
28,Ratnagiri,83,23
29,Sangli,43,2
30,Satara,125,0
31,Sindhudurg,7,0
32,Solapur,344,24
33,Thane,3287,222
34,Wardha,1,0
35,Washim,3,0
36,Yavatmal,99,0
37,Unknown,0,0
