,District,Total_Cases,Cases_Today
0,Angul,24,-1
1,Balangir,24,8
2,Balasore,133,5
3,Bargarh,1,1
4,Bhadrak,106,8
5,Boudh,33,0
6,Cuttack,59,0
7,Deogarh,24,22
8,Dhenkanal,4,1
9,Gajapati,10,6
10,Ganjam,353,5
11,Jagatsinghpur,41,10
12,Jajpur,240,1
13,Jharsuguda,5,0
14,Kalahandi,15,-2
15,Kandhamal,6,1
16,Kendrapara,55,15
17,Kendujhar,12,1
18,Khordha,82,5
19,Koraput,7,6
20,Malkangiri,19,9
21,Mayurbhanj,15,1
22,Nabarangapur,1,0
23,Nayagarh,45,0
24,Nuapada,1,0
25,Puri,81,0
26,Rayagada,0,0
27,Sambalpur,5,0
28,Subarnapur,0,0
29,Sundargarh,37,0
