,District,Total_Cases,Cases_Today
0,Ajmer,220,9
1,Alwar,20,0
2,Banswara,66,0
3,Baran,3,2
4,Barmer,4,0
5,Bharatpur,116,0
6,Bhilwara,43,0
7,Bikaner,39,1
8,BSF Camp,42,0
9,Chittorgarh,136,0
10,Churu,17,0
11,Dausa,22,0
12,Dholpur,21,0
13,Dungarpur,10,1
14,Evacuees,61,0
15,Hanumangarh,11,0
16,Italians,2,0
17,Jaipur,1219,23
18,Jaisalmer,35,0
19,Jalore,8,1
20,Jhalawar,47,0
21,Jhunjhunu,42,0
22,Jodhpur,873,11
23,Karauli,5,0
24,Kota,250,17
25,Nagaur,122,3
26,Other State,2,0
27,Pali,62,2
28,Pratapgarh,4,0
29,Rajsamand,16,1
30,Sawai Madhopur,10,0
31,Sikar,9,0
32,Sirohi,4,1
33,Tonk,140,4
34,Udaipur,133,30
