,District,Total_Cases,Cases_Today
0,Hyderabad,448,0
1,Karimnagar,19,0
2,Bhadradri Kothagudem,4,0
3,Ranga Reddy,25,0
4,Medchal Malkajgiri,6,0
5,Rajanna Sircilla,3,0
6,Khammam,7,0
7,Warangal Urban,21,0
8,Unknown,22,0
9,Vikarabad,33,0
10,Suryapet,43,0
11,Siddipet,1,0
12,Sangareddy,7,0
13,Nizamabad,58,0
14,Medak,5,0
15,Mahabubnagar,11,0
16,Mahabubabad,1,0
17,Adilabad,11,0
18,Nirmal,17,0
19,Peddapalli,2,0
20,Jagitial,3,0
21,Jogulamba Gadwal,26,0
22,Nalgonda,13,0
23,Nagarkurnool,2,0
24,Mulugu,2,0
25,Kamareddy,11,0
26,Jayashankar,3,0
27,Jangoan,2,0
28,Kumuram Bheem Asifabad,3,0
