,District,Total_Cases,Cases_Today
0,Agra,756,13
1,Aligarh,55,0
2,Amethi,6,1
3,Amroha,32,0
4,Auraiya,13,0
5,Ayodhya,2,1
6,Azamgarh,9,0
7,Baghpat,21,0
8,Bahraich,24,2
9,Balrampur,2,0
10,Banda,20,2
11,Barabanki,2,0
12,Bareilly,11,0
13,Basti,38,1
14,Bhadohi,3,0
15,Bijnor,43,1
16,Budaun,17,0
17,Bulandshahr,69,8
18,Chitrakoot,6,0
19,Deoria,3,0
20,Etah,10,1
21,Etawah,2,-1
22,Farrukhabad,1,0
23,Fatehpur,3,1
24,Firozabad,194,3
25,Gautam Buddha Nagar,224,-2
26,Ghaziabad,141,9
27,Ghazipur,7,0
28,Gonda,12,1
29,Gorakhpur,4,0
30,Hamirpur,1,0
31,Hapur,56,0
32,Hardoi,2,0
33,Hathras,9,0
34,Jalaun,30,0
35,Jaunpur,8,0
36,Jhansi,25,5
37,Kannauj,8,0
38,Kanpur Dehat,3,0
39,Kanpur Nagar,301,7
40,Kasganj,6,3
41,Kaushambi,2,0
42,Kushinagar,3,0
43,Lakhimpur Kheri,4,0
44,Lalitpur,1,0
45,Lucknow,250,0
46,Maharajganj,7,0
47,Mahoba,2,0
48,Mainpuri,12,0
49,Mathura,54,2
50,Mau,1,0
51,Meerut,242,22
52,Mirzapur,7,3
53,Moradabad,126,0
54,Muzaffarnagar,26,0
55,Pilibhit,4,0
56,Pratapgarh,12,1
57,Prayagraj,18,0
58,Rae Bareli,48,1
59,Rampur,28,0
60,Saharanpur,204,1
61,Sambhal,28,1
62,Sant Kabir Nagar,30,0
63,Shahjahanpur,1,0
64,Shamli,31,0
65,Shrawasti,12,3
66,Siddharthnagar,19,0
67,Sitapur,22,0
68,Sonbhadra,1,1
69,Sultanpur,5,1
70,Unnao,5,1
71,Varanasi,83,1
72,Unknown,0,0
