,District,Total_Cases,Cases_Today
0,Alipurduar,0,0
1,Bankura,3,0
2,Birbhum,32,10
3,Cooch Behar,0,0
4,Dakshin Dinajpur,6,1
5,Darjeeling,13,1
6,Hooghly,235,19
7,Howrah,833,21
8,Jalpaiguri,7,3
9,Jhargram,3,0
10,Kalimpong,7,0
11,Kolkata,1751,58
12,Malda,115,0
13,Murshidabad,62,13
14,Nadia,30,3
15,North 24 Parganas,504,24
16,Other State,43,7
17,Paschim Bardhaman,39,10
18,Paschim Medinipur,26,0
19,Purba Bardhaman,36,6
20,Purba Medinipur,65,3
21,Purulia,0,0
22,South 24 Parganas,137,9
23,Uttar Dinajpur,47,1
24,Unknown,15,0
