,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,date,Daman and Diu,Delhi,Dadra and Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,status,Telangana,Tamil Nadu,Tripura,India,Uttar Pradesh,Uttarakhand,West Bengal
0,0,1,0,0,0,0,0,2020-03-14,0,7,0,0,0,0,14,0,2,6,19,0,0,14,0,0,0.0,0,0,0,1,0,3,0,Confirmed,1,1,0,81,12,0,0
1,0,0,0,0,0,0,0,2020-03-14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0,0,0,0,0,1,0,Recovered,0,0,0,9,4,0,0
2,0,0,0,0,0,0,0,2020-03-14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,2,0,0,0
3,0,0,0,0,0,0,0,2020-03-15,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0.0,0,0,0,0,0,1,0,Confirmed,2,0,0,27,1,0,0
4,0,0,0,0,0,0,0,2020-03-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,Recovered,1,0,0,4,0,0,0
5,0,0,0,0,0,0,0,2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,2020-03-16,0,0,0,0,0,0,0,0,1,1,3,0,0,6,0,0,,0,0,1,0,1,0,0,Confirmed,1,0,0,15,0,1,0
7,0,0,0,0,0,0,0,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,1,0,1,0,0,0
8,0,0,0,0,0,0,0,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,2020-03-17,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,Confirmed,1,0,0,11,2,0,1
10,0,0,0,0,0,0,0,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,1,1,0,0
11,0,0,0,0,0,0,0,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,1,0,0,0
12,0,0,0,0,0,0,0,2020-03-18,0,2,0,0,0,0,1,0,1,5,0,8,0,3,0,0,0.0,0,0,1,1,0,3,0,Confirmed,8,1,0,37,2,1,0
13,0,0,0,0,0,0,0,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
15,0,2,0,0,0,1,1,2020-03-19,0,4,0,0,2,0,1,0,0,1,1,0,0,4,0,0,0.0,0,0,0,0,0,2,0,Confirmed,3,1,0,27,3,1,0
16,0,0,0,0,0,0,0,2020-03-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,5,4,0,0
17,0,0,0,0,0,0,0,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,Deceased,0,0,0,1,0,0,0
18,0,0,0,0,0,4,0,2020-03-20,0,6,0,0,5,2,2,0,0,0,12,2,0,4,0,0,4.0,0,0,0,1,0,8,0,Confirmed,3,0,0,58,4,0,1
19,0,0,0,0,0,0,0,2020-03-20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0
20,0,0,0,0,0,0,0,2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
21,0,2,0,0,0,0,0,2020-03-21,0,7,0,0,7,0,2,0,0,5,12,3,0,12,0,0,0.0,0,0,0,10,0,7,0,Confirmed,2,3,0,78,4,0,2
22,0,0,0,0,0,0,0,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
24,0,1,0,0,2,1,0,2020-03-22,0,0,0,0,4,0,0,0,0,6,15,0,0,10,0,0,2.0,0,0,0,8,0,4,0,Confirmed,6,3,0,67,2,0,3
25,0,0,0,0,0,0,0,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0
26,0,0,0,0,1,0,0,2020-03-22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
27,0,1,0,0,1,1,0,2020-03-23,0,3,0,0,12,1,7,0,0,7,28,0,0,23,0,0,0.0,0,0,0,2,0,4,0,Confirmed,6,3,0,102,2,1,0
28,0,0,0,0,0,0,0,2020-03-23,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,12,0,0,0
29,0,0,0,0,0,0,0,2020-03-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,2,0,0,1
30,0,1,0,0,0,0,0,2020-03-24,0,0,0,0,4,0,2,0,2,8,14,0,0,10,0,1,1.0,0,0,0,6,0,0,0,Confirmed,4,6,0,64,3,0,2
31,0,0,0,0,0,0,0,2020-03-24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,5,2,0,0
32,0,0,0,0,0,0,0,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,1,0,1,0,0,0
33,0,2,0,0,1,0,2,2020-03-25,0,5,0,3,4,0,1,0,5,10,9,0,0,15,0,0,8.0,1,0,0,2,0,6,0,Confirmed,4,8,0,90,3,1,0
34,0,1,0,0,0,0,0,2020-03-25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0
